decade,us_born,age_bucket,weighted_count,count,weighted_mean,nativity
1970,FALSE,17 or younger,1382900,13829,5.32019668811917,Foreign-born
1970,FALSE,18-29,1327800,13278,3.7611086006928756,Foreign-born
1970,FALSE,30-49,2591200,25912,4.115930842852732,Foreign-born
1970,FALSE,50 and older,4875500,48755,2.5642498205312276,Foreign-born
1970,TRUE,17 or younger,68328000,683280,5.412379990633415,US-born
1970,TRUE,18-29,32064100,320641,3.8040550023234707,US-born
1970,TRUE,30-49,43143300,431433,4.294532407117675,US-born
1970,TRUE,50 and older,43491600,434916,2.537623357154025,US-born
1980,FALSE,17 or younger,2247640,112382,5.323272410172447,Foreign-born
1980,FALSE,18-29,3012660,150633,3.859911174842166,Foreign-born
1980,FALSE,30-49,4345480,217274,4.070846028516987,Foreign-born
1980,FALSE,50 and older,5085620,254281,2.636567419508339,Foreign-born
1980,TRUE,17 or younger,61920720,3096036,4.712073761416211,US-born
1980,TRUE,18-29,42963520,2148176,3.4273178733958485,US-born
1980,TRUE,30-49,49439040,2471952,3.745636242127679,US-born
1980,TRUE,50 and older,52109540,2605477,2.3843027591492842,US-born
1990,FALSE,17 or younger,2811895,137068,5.4782077566907725,Foreign-born
1990,FALSE,18-29,4823629,222330,4.4986488388721435,Foreign-born
1990,FALSE,30-49,7725234,358066,4.206186116821834,Foreign-born
1990,FALSE,50 and older,5638645,276175,2.986009759436886,Foreign-born
1990,TRUE,17 or younger,60355350,3120646,4.513138652994308,US-born
1990,TRUE,18-29,39312839,1906522,3.376413262852881,US-born
1990,TRUE,30-49,64845688,3254070,3.3935488971911285,US-born
1990,TRUE,50 and older,55956295,2965444,2.262335363697686,US-born
2000,FALSE,17 or younger,3798566,181330,5.5163946078599135,Foreign-born
2000,FALSE,18-29,7144877,323722,4.53925896834893,Foreign-born
2000,FALSE,30-49,13383138,610639,4.2759525456585745,Foreign-born
2000,FALSE,50 and older,8304172,402459,3.190676565947815,Foreign-born
2000,TRUE,17 or younger,68019308,3456212,4.5460385895134365,US-born
2000,TRUE,18-29,35776616,1703773,3.3615372398552172,US-born
2000,TRUE,30-49,71360098,3542246,3.314060835510624,US-born
2000,TRUE,50 and older,65821420,3469494,2.2103153654235963,US-born
2010,FALSE,17 or younger,3264558,141403,4.92687585884521,Foreign-born
2010,FALSE,18-29,7325741,263454,4.115656832530662,Foreign-born
2010,FALSE,30-49,17484382,712427,4.043207017554295,Foreign-born
2010,FALSE,50 and older,13566418,661844,3.1582628516974784,Foreign-born
2010,TRUE,17 or younger,70444827,3263879,4.525687982738605,US-born
2010,TRUE,18-29,40686076,1719162,3.424544210161727,US-born
2010,TRUE,30-49,64718528,3092438,3.3256741098932285,US-born
2010,TRUE,50 and older,83609213,4902645,2.2403472091048147,US-born
2020,FALSE,17 or younger,3371174,127488,4.934456661091952,Foreign-born
2020,FALSE,18-29,6126641,215665,3.8088051837866788,Foreign-born
2020,FALSE,30-49,18881863,705494,3.917141227007102,Foreign-born
2020,FALSE,50 and older,19710078,904262,3.1516989430483227,Foreign-born
2020,TRUE,17 or younger,69654854,2915630,4.582845755444409,US-born
2020,TRUE,18-29,44019770,1692267,3.4295403179071586,US-born
2020,TRUE,30-49,65375838,2871878,3.3886406779214058,US-born
2020,TRUE,50 and older,95773614,5452136,2.27365036052623,US-born
2023,FALSE,17 or younger,3740360,29120,4.968079008437691,Foreign-born
2023,FALSE,18-29,6006565,47023,3.7977151666551516,Foreign-born
2023,FALSE,30-49,19227192,153645,3.8896911207835236,Foreign-born
2023,FALSE,50 and older,21689869,214918,3.131328409590671,Foreign-born
2023,TRUE,17 or younger,68695811,606409,4.569691287289701,US-born
2023,TRUE,18-29,42529654,358460,3.3470597009794623,US-born
2023,TRUE,30-49,67357227,624846,3.351898512686694,US-born
2023,TRUE,50 and older,97368085,1194238,2.264895566139562,US-born
