AGE,us_born,weighted_count,count,weighted_mean,nativity
0,FALSE,49892,1947,5.6860218071033435,Foreign-born
1,FALSE,68784,2495,5.372950104675506,Foreign-born
2,FALSE,86398,3162,5.214275793421144,Foreign-born
3,FALSE,107788,3810,5.201330389282666,Foreign-born
4,FALSE,128353,4514,5.005095323054389,Foreign-born
5,FALSE,147617,5558,4.997899970870564,Foreign-born
6,FALSE,162544,6074,5.0300349443842896,Foreign-born
7,FALSE,180186,6747,5.0025418178992815,Foreign-born
8,FALSE,190815,7114,4.979346487435474,Foreign-born
9,FALSE,204978,7543,4.976826781410688,Foreign-born
10,FALSE,213640,8021,4.996882606253511,Foreign-born
11,FALSE,228625,8537,4.9563083652269,Foreign-born
12,FALSE,236121,8885,4.899365156000525,Foreign-born
13,FALSE,242612,9315,4.925016075049874,Foreign-born
14,FALSE,251539,9652,4.8477452800559755,Foreign-born
15,FALSE,274549,10677,4.783714382496385,Foreign-born
16,FALSE,293315,11450,4.756480234560114,Foreign-born
17,FALSE,303418,11987,4.682520483293674,Foreign-born
18,FALSE,316065,11543,4.692196225459953,Foreign-born
19,FALSE,317845,11580,4.535037518287216,Foreign-born
20,FALSE,379996,12992,4.309642733081401,Foreign-born
21,FALSE,420892,14246,4.149140397061479,Foreign-born
22,FALSE,458474,15839,3.9646762957114254,Foreign-born
23,FALSE,491749,17095,3.853689585540591,Foreign-born
24,FALSE,524000,18133,3.6607824427480917,Foreign-born
25,FALSE,585171,20461,3.656640537552271,Foreign-born
26,FALSE,604943,21291,3.5658500057030165,Foreign-born
27,FALSE,640884,22586,3.523252257818888,Foreign-born
28,FALSE,673185,24068,3.5170866849380187,Foreign-born
29,FALSE,713437,25831,3.46656537297617,Foreign-born
30,FALSE,829968,29185,3.5864647793649875,Foreign-born
31,FALSE,789790,28648,3.5774547664569063,Foreign-born
32,FALSE,851345,30884,3.6866652179786104,Foreign-born
33,FALSE,854784,31124,3.751106712339024,Foreign-born
34,FALSE,886788,32294,3.8227321524422972,Foreign-born
35,FALSE,978386,34978,3.902883933335105,Foreign-born
36,FALSE,963952,34752,3.97887135459027,Foreign-born
37,FALSE,946469,34791,4.027821302124,Foreign-born
38,FALSE,967538,35628,4.052343163782714,Foreign-born
39,FALSE,960563,35613,4.080119679812777,Foreign-born
40,FALSE,1067124,38340,4.086683459466753,Foreign-born
41,FALSE,956813,35928,4.061945228586986,Foreign-born
42,FALSE,989762,36800,4.080551688183624,Foreign-born
43,FALSE,970431,36597,4.05670985366296,Foreign-born
44,FALSE,977964,37002,4.037535123992294,Foreign-born
45,FALSE,1020375,39477,3.957034423618768,Foreign-born
46,FALSE,970351,38184,3.9194456438958687,Foreign-born
47,FALSE,980429,38428,3.877171115909464,Foreign-born
48,FALSE,982606,38879,3.8193935310795983,Foreign-born
49,FALSE,936425,37962,3.7941372774114317,Foreign-born
50,FALSE,994415,40676,3.711155805171885,Foreign-born
51,FALSE,878868,37148,3.658343459996268,Foreign-born
52,FALSE,892479,37247,3.6036803106851814,Foreign-born
53,FALSE,855452,36414,3.522695604195209,Foreign-born
54,FALSE,868490,36775,3.4634929590438577,Foreign-born
55,FALSE,858869,36775,3.4171357913721416,Foreign-born
56,FALSE,828485,35958,3.3386035957198983,Foreign-born
57,FALSE,806903,35300,3.2783110237537847,Foreign-born
58,FALSE,788094,35079,3.2322603648803314,Foreign-born
59,FALSE,751846,33794,3.1887966418654883,Foreign-born
60,FALSE,762847,33690,3.167662716114765,Foreign-born
61,FALSE,699235,31958,3.125907599018928,Foreign-born
62,FALSE,695979,31875,3.0810139386389532,Foreign-born
63,FALSE,646939,30309,3.0507389413839636,Foreign-born
64,FALSE,617705,29056,3.010540630236116,Foreign-born
65,FALSE,611601,29048,3.0473527675723227,Foreign-born
66,FALSE,551104,26919,3.0495478167460224,Foreign-born
