decade,us_born,weighted_count,count,weighted_mean
1970,FALSE,10177400,101774,3.489938491166703
1980,FALSE,14691400,734570,3.7227058006725025
1990,FALSE,20999403,993639,4.11605887081647
2000,FALSE,32630753,1518150,4.201816182421534
2010,FALSE,41641099,1779128,3.836920778675894
2020,FALSE,48089756,1952909,3.660930406883329
2023,FALSE,50663986,444706,3.63373635860392
1970,TRUE,187027000,1870270,4.210281403219856
1980,TRUE,206432820,10321641,3.62563578795271
1990,TRUE,220470172,11246682,3.4098824579317695
2000,TRUE,240977442,12171725,3.36737173930164
2010,TRUE,259458644,12978124,3.3172491759418894
2020,TRUE,274824076,12931911,3.3093023625775784
2023,TRUE,275950777,2783953,3.2707683696792054
