decade,us_born,weighted_count,count,weighted_mean
2010,FALSE,41641099,1779128,2.8037467502959035
2023,FALSE,50663986,444706,2.87394531097494
1980,FALSE,14691400,734570,2.450700409763535
1990,TRUE,220470172,11246682,2.8493079417564022
2000,FALSE,32630753,1518150,2.385254548063908
2020,FALSE,48089756,1952909,2.861365339429046
1970,FALSE,10177400,101774,2.4159706801344156
1980,TRUE,206432820,10321641,2.8187848230722228
1990,FALSE,20999403,993639,2.397059954513945
2000,TRUE,240977442,12171725,2.88117459558725
2020,TRUE,274824076,12931911,3.0572822811928604
2010,TRUE,259458644,12978124,3.0225212847408547
2023,TRUE,275950777,2783953,3.063034665780267
1970,TRUE,187027000,1870270,2.7684093740475975
