decade,us_born,weighted_count,count,weighted_mean
1970,FALSE,4051200,40512,1.4989139020537126
1980,FALSE,7531860,376593,1.2985026275050253
1990,FALSE,12829672,593710,1.1904738484350963
2000,FALSE,21006159,957041,1.2208985469452078
2010,FALSE,25615734,1011804,1.2012894496796382
2020,FALSE,26002919,961835,1.1809834119007947
2023,FALSE,26271169,209760,1.1530268409449156
1970,TRUE,77447500,774475,1.575684173149553
1980,TRUE,94557500,4727875,1.158989609496867
1990,TRUE,106359278,5272953,1.0202144001015125
2000,TRUE,110346946,5411437,1.0026407074283687
2010,TRUE,109314239,5016207,0.9084818858776486
2020,TRUE,112660664,4719257,0.8378202528612826
2023,TRUE,112816442,1012824,0.8314435851469238
