AGE,immig_cohort,weighted_count,count,weighted_mean
0,1919 or earlier,5200,52,4.326923076923077
1,1919 or earlier,5000,50,4.34
2,1919 or earlier,5300,53,4.754716981132075
3,1919 or earlier,7300,73,4.821917808219178
4,1919 or earlier,7200,72,4.888888888888889
5,1919 or earlier,9800,98,5.3979591836734695
6,1919 or earlier,10500,105,5.6571428571428575
7,1919 or earlier,8300,83,5.566265060240964
8,1919 or earlier,10400,104,5.961538461538462
9,1919 or earlier,9200,92,5.793478260869565
10,1919 or earlier,9900,99,5.636363636363637
11,1919 or earlier,7600,76,5.855263157894737
12,1919 or earlier,8400,84,5.559523809523809
13,1919 or earlier,8900,89,5.921348314606742
14,1919 or earlier,9400,94,5.26595744680851
15,1919 or earlier,7800,78,5.346153846153846
16,1919 or earlier,7200,72,5.027777777777778
17,1919 or earlier,8500,85,4.882352941176471
18,1919 or earlier,6500,65,5.153846153846154
19,1919 or earlier,5900,59,4.5423728813559325
20,1919 or earlier,5800,58,3.6551724137931036
21,1919 or earlier,6600,66,4.045454545454546
22,1919 or earlier,6600,66,3.4545454545454546
23,1919 or earlier,6600,66,3.621212121212121
24,1919 or earlier,4800,48,3.4375
25,1919 or earlier,6000,60,3.4
26,1919 or earlier,6500,65,4.046153846153846
27,1919 or earlier,6800,68,4.588235294117647
28,1919 or earlier,6200,62,3.6451612903225805
29,1919 or earlier,5000,50,3.98
30,1919 or earlier,4700,47,4.23404255319149
31,1919 or earlier,6200,62,4.209677419354839
32,1919 or earlier,5800,58,3.6206896551724137
33,1919 or earlier,3600,36,4
34,1919 or earlier,5800,58,4.758620689655173
35,1919 or earlier,4900,49,3.816326530612245
36,1919 or earlier,4900,49,4.244897959183674
37,1919 or earlier,4800,48,3.9166666666666665
38,1919 or earlier,4100,41,4.341463414634147
39,1919 or earlier,4200,42,4.166666666666667
40,1919 or earlier,6300,63,4.714285714285714
41,1919 or earlier,5900,59,4.610169491525424
42,1919 or earlier,6100,61,4.016393442622951
43,1919 or earlier,5100,51,4.098039215686274
44,1919 or earlier,4900,49,3.7551020408163267
45,1919 or earlier,7100,71,3.676056338028169
46,1919 or earlier,10900,109,3.55045871559633
47,1919 or earlier,19700,197,3.720812182741117
48,1919 or earlier,23500,235,3.523404255319149
49,1919 or earlier,27600,276,3.5471014492753623
50,1919 or earlier,31000,310,3.3741935483870966
51,1919 or earlier,24400,244,3.1885245901639343
52,1919 or earlier,25500,255,3.3254901960784315
53,1919 or earlier,25900,259,3.0463320463320462
54,1919 or earlier,32900,329,2.954407294832827
55,1919 or earlier,35100,351,2.9971509971509973
56,1919 or earlier,47000,470,2.853191489361702
57,1919 or earlier,52800,528,2.727272727272727
58,1919 or earlier,56000,560,2.669642857142857
59,1919 or earlier,57900,579,2.6321243523316062
60,1919 or earlier,68700,687,2.497816593886463
61,1919 or earlier,66600,666,2.4294294294294296
62,1919 or earlier,67100,671,2.5126676602086437
63,1919 or earlier,79000,790,2.3556962025316457
64,1919 or earlier,98700,987,2.387031408308004
65,1919 or earlier,109500,1095,2.3123287671232875
66,1919 or earlier,113900,1139,2.2686567164179103
67,1919 or earlier,114400,1144,2.2246503496503496
68,1919 or earlier,110000,1100,2.2154545454545453
69,1919 or earlier,128900,1289,2.3141970519782777
70,1919 or earlier,124900,1249,2.1841473178542836
71,1919 or earlier,121100,1211,2.1866226259289845
72,1919 or earlier,125511,1256,2.236632645744198
73,1919 or earlier,123474,1240,2.240682248894504
74,1919 or earlier,125850,1271,2.2181406436233613
75,1919 or earlier,122940,1244,2.2784529038555394
76,1919 or earlier,117470,1193,2.2236571039414317
77,1919 or earlier,114418,1176,2.264040622978902
78,1919 or earlier,90669,944,2.228766171458823
79,1919 or earlier,91533,963,2.2979144133809664
80,1919 or earlier,95724,1012,2.256717228699177
81,1919 or earlier,86833,976,2.268953047804406
82,1919 or earlier,70021,842,2.37571585667157
83,1919 or earlier,64506,806,2.449663597184758
84,1919 or earlier,59156,777,2.3719994590574074
85,1919 or earlier,48392,674,2.4587121838320383
86,1919 or earlier,38710,566,2.4000516662361147
87,1919 or earlier,36062,546,2.4275137263601576
88,1919 or earlier,27288,438,2.310246262093228
89,1919 or earlier,19866,365,2.465015604550488
90,1919 or earlier,12872,133,2.274316345556246
91,1919 or earlier,7940,87,2.4324937027707807
92,1919 or earlier,8206,129,2.4959785522788205
93,1919 or earlier,34381,1574,2.1906576306681016
94,1919 or earlier,6898,203,2.3032763119744852
95,1919 or earlier,3044,36,2.563731931668857
100,1919 or earlier,7200,72,2.2083333333333335
38,1920s,3000,30,4.866666666666666
39,1920s,3400,34,4.470588235294118
40,1920s,5300,53,4.660377358490566
41,1920s,5900,59,4.559322033898305
42,1920s,8400,84,4.142857142857143
43,1920s,10900,109,4.495412844036697
44,1920s,11500,115,4.304347826086956
45,1920s,12900,129,3.9069767441860463
46,1920s,13000,130,4.023076923076923
47,1920s,16400,164,4.024390243902439
48,1920s,17600,176,3.7045454545454546
49,1920s,14900,149,3.5167785234899327
50,1920s,17200,172,3.366279069767442
51,1920s,10000,100,3.09
52,1920s,9300,93,3.3333333333333335
53,1920s,11800,118,3.1016949152542375
54,1920s,15000,150,3.026666666666667
55,1920s,16200,162,2.7901234567901234
56,1920s,20000,200,2.94
57,1920s,21700,217,2.889400921658986
58,1920s,23800,238,2.7605042016806722
59,1920s,29100,291,2.752577319587629
60,1920s,33600,336,2.4910714285714284
61,1920s,38500,385,2.397402597402597
62,1920s,37400,374,2.4197860962566846
63,1920s,36700,367,2.569482288828338
64,1920s,40500,405,2.308641975308642
65,1920s,36647,377,2.3529893306409804
66,1920s,34127,365,2.308406833299147
67,1920s,30453,341,2.2620759859455553
68,1920s,26285,300,2.292448164352292
69,1920s,25196,313,2.0846959834894427
70,1920s,25341,329,2.276784657274772
71,1920s,21963,337,2.1795292082138142
72,1920s,19016,375,2.308529659234329
73,1920s,19776,443,2.337328074433657
74,1920s,19776,543,2.2077265372168284
75,1920s,18632,565,2.205613997423787
76,1920s,18514,629,2.114399913578913
77,1920s,18145,613,2.0265637916781483
78,1920s,19394,672,2.0424358048881097
79,1920s,18901,743,1.9256124014602403
80,1920s,17468,731,2.03835585069842
81,1920s,16635,711,1.965975353171025
82,1920s,17053,764,2.0820969917316603
83,1920s,16313,740,1.8355299454422853
84,1920s,16136,747,1.9090233019335647
