rank,1919 or earlier,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s
1,Italy,Canada,Germany,Canada,Germany,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
2,Canada,Germany,Canada,Italy,Mexico,Cuba,Philippines,Philippines,India,India,India,India
3,Other USSR/Russia,Italy,Italy,Mexico,Canada,Germany,Vietnam,El Salvador,China,China,China,Venezuela
4,Poland,Ireland,Mexico,Poland,Italy,Canada,Korea,Vietnam,Philippines,Philippines,Philippines,Cuba
5,Germany,Mexico,Austria,England,England,Italy,India,Korea,Vietnam,El Salvador,Dominican Republic,Colombia
6,"Abroad, ns",Scotland,Poland,Germany,Japan,Philippines,Germany,China,El Salvador,Guatemala,Cuba,China
7,Mexico,Poland,China,West Germany,West Germany,England,Cuba,India,Dominican Republic,Cuba,Guatemala,Guatemala
8,England,England,England,"Abroad, ns",Poland,Japan,Jamaica,Dominican Republic,Korea,Dominican Republic,El Salvador,Honduras
9,Austria,Other USSR/Russia,Czechoslovakia,Ireland,Cuba,China,China,Jamaica,Guatemala,Korea,Honduras,Brazil
10,Czechoslovakia,Philippines,Greece,"USSR, ns",Hungary,Dominican Republic,Canada,Germany,Cuba,Vietnam,Venezuela,El Salvador
