AGE,birth_decade,weighted_count,count,weighted_mean
41,1920s,2172400,21724,4.514914380408764
42,1920s,2249800,22498,4.34700862298871
43,1920s,2200600,22006,4.260156321003363
44,1920s,2248300,22483,4.12907530133879
45,1920s,2307500,23075,3.978504875406284
46,1920s,2203600,22036,3.83018696678163
47,1920s,2221000,22210,3.7104007203962177
48,1920s,2269500,22695,3.562106190790923
49,1920s,2182000,21820,3.4245187901008247
50,1920s,2240100,22401,3.2874425248872816
51,1920s,2102500,105125,3.0855838287752677
52,1920s,2187240,109362,2.9923282310126003
53,1920s,2153480,107674,2.892035217415532
54,1920s,2171860,108593,2.817382335878003
55,1920s,2221040,111052,2.723129705003062
56,1920s,2143680,107184,2.648343036274071
57,1920s,2127280,106364,2.58325185213042
58,1920s,2143220,107161,2.502150969102565
59,1920s,2079160,103958,2.450354951037919
60,1920s,2000680,100034,2.3941959733690545
61,1920s,1838883,97100,2.338491355893768
62,1920s,2002874,105834,2.3088606672212033
63,1920s,1915548,101364,2.2628767329244686
64,1920s,1910535,100877,2.2174427581803005
65,1920s,1983599,104850,2.192014615857338
66,1920s,1820880,96718,2.141287729010149
67,1920s,1823204,96738,2.1204626580459456
68,1920s,1800925,95889,2.0868681372072686
69,1920s,1751439,93191,2.0511482272577006
70,1920s,1635853,86975,2.024284578137522
71,1920s,1607010,85220,2.0325281112127493
72,1920s,1587170,84223,2.0113655122009613
73,1920s,1514097,80477,1.9915540417819995
74,1920s,1468084,77898,1.961795782802619
75,1920s,1434176,76283,1.937232250435093
76,1920s,1342018,71605,1.9256500285391105
77,1920s,1260005,67180,1.9078432228443538
78,1920s,1229484,65579,1.8837048713118674
79,1920s,1110422,59277,1.8690822047834066
80,1920s,1019679,54440,1.8471058048660411
83,1920s,898748,55774,1.845477263927152
84,1920s,820783,50688,1.8215216445759719
85,1920s,752195,45883,1.8182279860940316
86,1920s,657653,40089,1.7920848836696557
87,1920s,575756,34894,1.78112255886174
88,1920s,489718,29505,1.7813782625919408
89,1920s,357854,21207,1.7601927042872232
90,1920s,174390,10087,1.7107861689317048
91,1920s,53932,3379,1.884020618556701
92,1920s,224165,13855,1.8624941449378807
93,1920s,265651,15011,1.7841453636538165
94,1920s,1246072,41422,1.7401466367914535
95,1920s,510361,18467,1.7416377818838038
96,1920s,14531,561,2.1672286835042325
97,1920s,927,61,3.0679611650485437
31,1930s,2141900,21419,4.34002521126103
32,1930s,2114600,21146,4.463586493899555
33,1930s,2029300,20293,4.5851771546838815
34,1930s,2054500,20545,4.648917011438306
35,1930s,2052200,20522,4.706558814930319
36,1930s,1988500,19885,4.724918280110636
37,1930s,2053800,20538,4.736877982276756
38,1930s,2025700,20257,4.717579108456336
39,1930s,2116100,21161,4.673928453286707
40,1930s,2259000,22590,4.577689243027889
41,1930s,2145080,107254,3.99528222723628
42,1930s,2103440,105172,3.95166013767923
43,1930s,2011740,100587,3.8740393887878155
44,1930s,2046580,102329,3.7915351464394256
45,1930s,2019160,100958,3.691693575546267
46,1930s,1940620,97031,3.5928929929610125
47,1930s,2018400,100920,3.5151010701545777
48,1930s,1981840,99092,3.4045331611028136
49,1930s,2121800,106090,3.3024978791592043
50,1930s,2154940,107747,3.1950123901361525
51,1930s,1984201,101777,2.817214082645861
52,1930s,2073694,106572,2.7693039570929945
53,1930s,1958549,100606,2.710594935332228
54,1930s,1950783,100100,2.648426811182997
55,1930s,1921080,101326,2.6030894080413103
56,1930s,1797985,94860,2.5705909671104044
57,1930s,1878143,99293,2.5202468608620325
58,1930s,1835602,96762,2.4784158003750267
59,1930s,1955182,103355,2.419054594406045
60,1930s,1956694,103398,2.3835597185865547
61,1930s,1940753,102626,2.2472555755420704
62,1930s,1881801,99684,2.21965234368565
63,1930s,1784388,94978,2.1949833780545487
64,1930s,1773051,94495,2.1849602746903503
65,1930s,1729747,92284,2.1295253005208274
66,1930s,1611398,85774,2.123196131557815
67,1930s,1646999,87442,2.1067365553956012
68,1930s,1634558,86987,2.080091376384319
69,1930s,1666525,88628,2.075412610071856
70,1930s,1689500,89739,2.0548819177271382
73,1930s,1514039,95281,2.0156079202715387
74,1930s,1417349,89858,1.9977387361898868
75,1930s,1383254,87384,1.9817820877438272
76,1930s,1303980,82528,1.974519547845826
77,1930s,1246748,79129,1.9521354756534601
78,1930s,1190751,75415,1.9337770868972606
79,1930s,1136530,72042,1.921549805108532
80,1930s,1112997,69798,1.9026852722873466
81,1930s,1023611,64528,1.8776781414033261
82,1930s,964369,60363,1.8615011473823817
83,1930s,915089,57195,1.9060309980777825
84,1930s,1671668,62334,1.8742627124524727
85,1930s,1543987,55154,1.8756433830077586
86,1930s,1359269,48926,1.8413286847562917
87,1930s,1213764,43269,1.831600706562396
88,1930s,1054860,37379,1.8214303319871832
89,1930s,805883,28761,1.7768559455901167
90,1930s,558133,19827,1.75521067559166
91,1930s,214779,8495,1.7498870932446842
92,1930s,474240,16623,1.9390603913630229
93,1930s,320585,4274,1.7809379727685326
21,1940s,2649000,26490,3.6567383918459795
22,1940s,3012500,30125,3.4117510373443984
23,1940s,3084100,30841,3.3294640251613115
24,1940s,2458300,24583,3.378594963999512
25,1940s,2526700,25267,3.46297542248783
26,1940s,2618000,26180,3.5663101604278076
27,1940s,2706500,27065,3.706188804729355
28,1940s,2405800,24058,3.8834898994097595
29,1940s,2261500,22615,4.049922617731594
30,1940s,2253000,22530,4.1964935641367065
31,1940s,3315180,165759,3.5050826802767876
32,1940s,3421940,171097,3.5941775717867643
33,1940s,3370720,168536,3.6899000806949256
34,1940s,2602440,130122,3.795830067167735
35,1940s,2623680,131184,3.873383949262105
36,1940s,2679320,133966,3.955317020736605
37,1940s,2746020,137301,4.009125934989549
38,1940s,2372500,118625,4.065517386722866
39,1940s,2304400,115220,4.051544870682173
40,1940s,2231960,111598,4.0310131005932
41,1940s,3066069,155532,3.47799283055926
42,1940s,3371740,171087,3.427262778268787
43,1940s,3332186,169180,3.3705576459417332
44,1940s,2445451,124502,3.300915863781364
45,1940s,2644853,134557,3.231634045446004
46,1940s,2575691,131518,3.1606174809012417
47,1940s,2658512,136028,3.0941590634159257
48,1940s,2280000,116940,3.010464912280702
49,1940s,2271864,116499,2.949419947672924
50,1940s,2200751,112361,2.887739230835292
51,1940s,3114018,160906,2.647373265022874
52,1940s,3193168,164999,2.572213550931238
53,1940s,3176172,164135,2.5091411926054383
54,1940s,2404866,125176,2.463730203678708
55,1940s,2442559,127435,2.4117136986250896
56,1940s,2476189,129252,2.367877815465621
57,1940s,2521856,131993,2.3328219374936556
58,1940s,2210254,116129,2.30726106592274
59,1940s,2063242,108440,2.2739833718003024
60,1940s,1981594,104780,2.2557799428137146
63,1940s,2741343,162762,2.1615095228871395
64,1940s,2601632,155589,2.137574799202962
65,1940s,2493267,150889,2.1165073776695396
66,1940s,2233408,136762,2.0951509979367855
67,1940s,2122938,130903,2.076258939262475
68,1940s,2029984,125466,2.073729645159765
69,1940s,1901657,118650,2.05646601884567
70,1940s,1828609,113048,2.0518842464408737
71,1940s,1645398,103192,2.0302899359303948
72,1940s,1585773,99653,2.0240671268838604
73,1940s,2223576,141786,2.019067034362666
74,1940s,4562092,165602,2.0152079353068726
75,1940s,4290574,156353,2.000881700210741
76,1940s,4012181,141623,1.9845064317885959
77,1940s,3290145,125441,1.9778104004534756
78,1940s,3038387,116316,1.9578305857680407
79,1940s,2898662,107513,1.9494759996163746
80,1940s,2768485,97979,1.9431425490837047
81,1940s,2341160,85837,1.9237454936868903
82,1940s,2099668,77686,1.9137406485215758
83,1940s,964295,13149,1.8886782571723384
11,1950s,4116400,41164,5.732727626081042
12,1950s,4117800,41178,5.703336733207053
13,1950s,4056300,40563,5.636244853684392
14,1950s,3980700,39807,5.533273042429723
15,1950s,3899800,38998,5.415482845274116
16,1950s,3719300,37193,5.2812088296184765
17,1950s,3614200,36142,5.121686680316529
18,1950s,3077000,30770,4.828046798830029
19,1950s,2635400,26354,4.386051453289824
20,1950s,2629300,26293,3.9558057277602403
21,1950s,3555940,177797,3.527618576241444
22,1950s,3732000,186600,3.3013665594855306
23,1950s,3757160,187858,3.1445985797783433
24,1950s,3756380,187819,3.070535994760913
25,1950s,3719620,185981,3.0467467106855
26,1950s,3615000,180750,3.0782959889349932
27,1950s,3575360,178768,3.1256824487604047
28,1950s,3415780,170789,3.205522603914772
29,1950s,3415000,170750,3.2969019033674964
30,1950s,3382220,169111,3.396006173460035
31,1950s,3711434,181133,3.3627196388242386
32,1950s,3930439,192123,3.4103371150143786
33,1950s,3851441,189010,3.4769269476022093
34,1950s,3768396,184739,3.518896899370448
35,1950s,3733648,187667,3.5368620716253916
36,1950s,3547540,178810,3.5680699865258743
37,1950s,3504191,177092,3.566022228811158
38,1950s,3336610,168690,3.569339539232934
39,1950s,3375816,170554,3.549679247921095
40,1950s,3413231,172702,3.5116213933366947
41,1950s,3801096,188057,3.4384548561783235
42,1950s,3881887,192489,3.385219868584531
43,1950s,3768668,187444,3.3220440219196807
44,1950s,3697807,184438,3.249282885775272
45,1950s,3666874,185073,3.1609564440992517
46,1950s,3509056,177318,3.0826874806215687
47,1950s,3467841,175314,2.9916968511532103
48,1950s,3389238,171478,2.90472017603957
49,1950s,3231011,164231,2.8235140641737213
50,1950s,3210232,165418,2.7269636587013024
53,1950s,3607258,196799,2.5851103525170642
54,1950s,3579497,196051,2.519489190799713
55,1950s,3566236,197997,2.451977098543114
56,1950s,3398544,191618,2.400505922536239
57,1950s,3302731,188322,2.3487114148866497
58,1950s,3228210,185054,2.3068697513482705
59,1950s,3122365,180589,2.2647829449792063
60,1950s,3211462,184652,2.234970552352791
61,1950s,3043734,178640,2.202905378722319
62,1950s,2902657,171433,2.1772145313759084
63,1950s,3403002,195317,2.2168235575530075
64,1950s,6837253,236323,2.182576833122893
65,1950s,6508958,236390,2.1605888377217983
66,1950s,6325977,230026,2.137306379710201
67,1950s,6118859,223440,2.114069796346018
68,1950s,5925939,216636,2.0898299830625997
69,1950s,5775319,211251,2.0818853469392775
70,1950s,5682028,207586,2.0682833664318445
71,1950s,5381589,200786,2.0482721738876752
72,1950s,5068636,188456,2.0285769189186205
73,1950s,2481290,33291,2.023536950537825
1,1960s,3319500,33195,4.745895466184666
2,1960s,3229300,32293,4.927135911807513
3,1960s,3343400,33434,5.087695160614943
4,1960s,3491800,34918,5.270719972507017
5,1960s,3776100,37761,5.445592012923386
6,1960s,3968100,39681,5.545928782036743
7,1960s,3975000,39750,5.650440251572327
8,1960s,4047300,40473,5.690410891211425
9,1960s,4102500,41025,5.726898232784888
10,1960s,4169000,41690,5.7517390261453585
11,1960s,3475040,173752,4.894015608453428
12,1960s,3398040,169902,4.932725924356394
13,1960s,3512800,175640,4.942199954452289
14,1960s,3663680,183184,4.942091012315486
15,1960s,3857660,192883,4.889005251888451
16,1960s,3948780,197439,4.820197630660609
17,1960s,3941760,197088,4.714345875953889
18,1960s,3499160,174958,4.483190251374616
19,1960s,3422340,171117,4.147080652419105
20,1960s,3499780,174989,3.8035133636971468
21,1960s,2954236,141854,3.551958949792772
22,1960s,2933182,140260,3.388836083134289
23,1960s,3103330,148624,3.228909912900014
24,1960s,3206150,153434,3.1461469363566894
25,1960s,3512177,168226,3.1064906466843785
26,1960s,3595188,172650,3.091476440175034
27,1960s,3671713,176752,3.1303552320129597
28,1960s,3659382,176841,3.1678644098921622
29,1960s,3891213,188842,3.2237579901177345
30,1960s,4026576,195707,3.2983976957097045
31,1960s,3158920,154772,3.2720553227052283
32,1960s,3117969,153463,3.349648441020421
33,1960s,3208948,158589,3.412641775435439
34,1960s,3346470,165996,3.4620062334340367
35,1960s,3668600,179395,3.4932083083465084
36,1960s,3729042,182908,3.5299591691378107
37,1960s,3759117,184346,3.5412765817078853
38,1960s,3832715,188809,3.537087678055895
39,1960s,3875071,191270,3.5159766104930723
40,1960s,3933824,194362,3.467980011307064
43,1960s,3231047,158719,3.3498358272101894
44,1960s,3330414,163993,3.29457899228144
45,1960s,3534932,174689,3.2075921120972057
46,1960s,3492457,176924,3.149935704290704
47,1960s,3612965,184183,3.0634301743858576
48,1960s,3677975,188766,2.977672224525724
49,1960s,3683685,191595,2.899377389760525
50,1960s,3909635,204607,2.797318931306887
51,1960s,3648196,195807,2.7359766306415554
52,1960s,3649037,197338,2.6598908150287324
53,1960s,3221474,157733,2.7436123960646586
54,1960s,6370744,194627,2.683032154486195
55,1960s,6275512,203525,2.603748347545188
56,1960s,6295613,209163,2.5360712292829946
57,1960s,6498142,217763,2.4893137145971878
58,1960s,6777817,225149,2.422014049656401
59,1960s,6835474,228542,2.3701640881085937
60,1960s,7158089,236863,2.327507523306849
61,1960s,7009621,236571,2.2838060716834763
62,1960s,7064555,238339,2.2544800061716557
63,1960s,3500660,41677,2.2104754532002535
0,1970s,3401500,34015,4.691489048948993
1,1970s,3244520,162226,4.306350400059177
2,1970s,3186880,159344,4.399362385781705
3,1970s,3130500,156525,4.488273438747804
4,1970s,3092920,154646,4.562491108725735
5,1970s,3115720,155786,4.622225360430334
6,1970s,3041440,152072,4.681598190330896
7,1970s,3173880,158694,4.736442461592751
8,1970s,3312740,165637,4.769888370352035
9,1970s,3682780,184139,4.800433368270708
10,1970s,3611720,180586,4.850165572082
11,1970s,3282481,171272,4.621697734122452
12,1970s,3206826,167384,4.599133535776497
13,1970s,3137320,163600,4.5638624686037765
14,1970s,3031740,158189,4.517633438223594
15,1970s,3061203,159374,4.457792247034908
16,1970s,3014539,156698,4.368129587973485
17,1970s,3066867,159298,4.286067181915616
18,1970s,2861130,147058,4.142446166374824
19,1970s,2930222,147007,3.934727471160888
20,1970s,2994916,144974,3.7257786195005136
21,1970s,2917661,135307,3.501255629080966
22,1970s,2930992,135368,3.315116179095678
23,1970s,2957939,136488,3.182486859938626
24,1970s,2922807,134720,3.120172149580865
25,1970s,2865020,136769,3.0427710801320758
26,1970s,2798048,133761,3.070328671988472
27,1970s,2944747,141606,3.120501693354302
28,1970s,3121510,149963,3.1085465047364895
29,1970s,3393026,162832,3.1261897197368955
30,1970s,3315944,162494,3.1859063361745554
33,1970s,2918322,133070,3.432038342581799
34,1970s,2891637,132699,3.4976357682516857
35,1970s,2987085,134897,3.5062306563087424
36,1970s,2904301,133840,3.5577114768751588
37,1970s,2987962,139145,3.5490842922366483
38,1970s,3086092,145276,3.5377610259188645
39,1970s,3146583,149000,3.516684288957259
40,1970s,3411831,159165,3.468633411209406
41,1970s,3176012,153040,3.453500805412574
42,1970s,3222317,155550,3.411309005290293
43,1970s,3011179,133512,3.509986619858866
44,1970s,6121471,161603,3.4400729824579748
45,1970s,5975050,161841,3.3819086032752863
46,1970s,5827851,160793,3.3202192369022474
47,1970s,5892372,165736,3.248091430751487
48,1970s,5957758,170510,3.157463092660024
49,1970s,5945483,174598,3.072651456576362
50,1970s,6194617,184630,2.9736390482252575
51,1970s,6124015,183667,2.8982340833587115
52,1970s,6390200,187990,2.8173199586867392
53,1970s,3257292,33589,2.7480241255619697
0,1980s,3529860,176493,4.316652785096292
1,1980s,3847838,196024,4.322123748453027
2,1980s,3675165,187763,4.392697742822431
3,1980s,3529250,181381,4.469115817808317
4,1980s,3548592,182706,4.527068482372727
5,1980s,3536133,181759,4.575387860128564
6,1980s,3439313,177363,4.609956406991746
7,1980s,3506471,180982,4.626856460526837
8,1980s,3357230,174148,4.651409346395689
9,1980s,3514120,182633,4.645294412256838
10,1980s,3454907,179806,4.635483965270266
11,1980s,3847447,195519,4.6175773181540904
12,1980s,3803361,193601,4.603071599040954
13,1980s,3731833,190662,4.563116034399181
14,1980s,3748064,192287,4.517587746633995
15,1980s,3615395,188578,4.433975540708554
16,1980s,3525949,183559,4.356754451071187
17,1980s,3527493,183964,4.2769006203555895
18,1980s,3169805,159908,4.14161659786643
19,1980s,2789427,138165,3.915096899829248
20,1980s,2965634,138886,3.6895641876239615
23,1980s,3424072,141764,3.28404542895126
24,1980s,3308489,140516,3.186885312298152
25,1980s,3494930,141752,3.1042676105100817
26,1980s,3356169,139607,3.0913535641381586
27,1980s,3317462,140182,3.095201391907428
28,1980s,3303966,141696,3.1244404452103924
29,1980s,3210611,140334,3.1698835517600856
30,1980s,3308531,143953,3.2275858983941816
31,1980s,3073025,137548,3.2951873154302356
32,1980s,3041355,136386,3.377945356592703
33,1980s,3508637,149861,3.330412065995998
34,1980s,7132018,181421,3.3565706087673925
35,1980s,7087222,182094,3.4308311493558405
36,1980s,6909027,178826,3.48414516255328
37,1980s,6765673,177828,3.523770805949386
38,1980s,6729334,176887,3.5448505008073607
39,1980s,6570067,174364,3.571843179072603
40,1980s,6839956,178800,3.558393650485471
41,1980s,6482539,170082,3.5441497536690485
42,1980s,6438624,167662,3.5337730546153963
43,1980s,3337215,30822,3.4564063148463613
0,1990s,3145355,160266,4.347334720564134
1,1990s,3702299,186358,4.412346220551068
2,1990s,3643881,184202,4.474894761931029
3,1990s,3673879,185585,4.525335211094323
4,1990s,3772186,190687,4.563004581428381
5,1990s,3811873,190859,4.6178314440171535
6,1990s,3844755,192422,4.610146030111151
7,1990s,3931687,197927,4.672172276175596
8,1990s,3997312,201644,4.708606683691441
9,1990s,4085470,206405,4.703931493806098
10,1990s,4039359,205047,4.661310371274254
13,1990s,3868315,185829,4.526025155655628
14,1990s,3874163,186415,4.465379489711713
15,1990s,3900504,189656,4.3833220014644265
16,1990s,3933567,191472,4.302253400031066
17,1990s,3909185,191834,4.23368911934329
18,1990s,3473373,162592,4.158678898004908
19,1990s,3091880,143217,3.9972576555364374
20,1990s,3616142,143456,3.7836252005590487
21,1990s,3609908,142512,3.6289431752831374
22,1990s,3479074,141534,3.4388167656106194
23,1990s,3765186,140799,3.325790014092265
24,1990s,7506715,172716,3.165969268847958
