immig_cohort,decade,std_mean,n_buckets_used,ref_weight_used,raw_mean,n_obs
1919 or earlier,1970,3.7455944205206784,4,100,2.6123794585802256,34428
1919 or earlier,2000,2.0084785336952398,1,34.84906249625669,2.0084785336952398,3455
1919 or earlier,2010,1.8566548416765205,1,34.84906249625669,1.8566548416765207,416
1920s,1970,2.954192138804377,4,100,2.775246384231409,7813
1920s,2000,1.8819755374526612,1,34.84906249625669,1.8819755374526612,10511
1920s,2010,1.8864912971797902,1,34.84906249625669,1.8864912971797902,3822
1930s,1970,3.1293007480463344,4,100,3.1580484954718084,3423
1930s,2000,1.999551613860407,1,34.84906249625669,1.9995516138604068,7518
1930s,2010,1.9460151407501778,1,34.84906249625669,1.9460151407501776,4642
1930s,2020,1.980533237398569,1,34.84906249625669,1.980533237398569,2619
1940s,1970,3.6956415925841863,4,100,3.554939680469514,6134
1940s,1980,2.883685368561676,2,58.637312401989114,2.373115707860929,164319
1940s,1990,2.6353338576282734,2,58.637312401989114,2.2141918923741364,93101
1940s,2000,2.2392920319194936,1,34.84906249625669,2.2392920319194936,25397
1940s,2010,2.1022940944162496,1,34.84906249625669,2.1022940944162496,19476
1940s,2020,2.0837870874541617,1,34.84906249625669,2.0837870874541617,9345
1950s,1970,3.998555221702862,4,100,4.060090999424716,19121
1950s,1980,3.2392579677202074,3,74.65474822518824,3.333074344100899,93955
1950s,1990,2.9918931973125575,2,58.637312401989114,2.9702483685182233,87864
1950s,2000,2.754399347438518,2,58.637312401989114,2.59396397097959,76357
1950s,2010,2.588822835189704,2,58.637312401989114,2.306088797026693,70864
1950s,2020,2.204299214664423,1,34.84906249625669,2.204299214664423,49084
1960s,1970,4.192895132091206,4,100,4.320289431843992,30819
1960s,1980,4.017134789074762,4,100,3.970278050376186,152850
1960s,1990,3.433265525211101,3,74.65474822518824,3.529819639239665,146843
1960s,2000,3.2077317110671304,2,58.637312401989114,3.193948700509736,135550
1960s,2010,2.9235619557502717,2,58.637312401989114,2.7829478024132737,133283
1960s,2020,2.8444275764945672,2,58.637312401989114,2.5700764319255027,107688
1970s,1980,4.45553752099029,4,100,4.492783512734545,272016
1970s,1990,4.394981809277868,4,100,4.4214495326967524,244056
1970s,2000,3.778900333296197,3,74.65474822518824,3.9455206111414256,234626
1970s,2010,3.433158766981645,3,74.65474822518824,3.389718444558957,216909
1970s,2020,3.2373192236154282,2,58.637312401989114,3.078033113316854,189285
1980s,1990,4.695362537697604,4,100,4.758294408892555,421775
1980s,2000,4.48106490746725,4,100,4.4895352824438355,402217
1980s,2010,3.748189472832632,3,74.65474822518824,3.8480232982312743,342144
1980s,2020,3.5031160556638476,3,74.65474822518824,3.4640731948238215,297053
1990s,2000,4.537031690065275,4,100,4.6088691634222565,594310
1990s,2010,4.123560740808129,4,100,4.129848427658468,457722
1990s,2020,3.627553908866388,3,74.65474822518824,3.7179332805869176,392523
2000s,2010,4.182110648099918,4,100,4.152155292726523,488918
2000s,2020,4.001162499228317,4,100,3.9524599399428517,430728
2010s,2020,4.002747408117394,4,100,3.9366807457651705,434028
