synth_cohort,decade,nativity,weighted_count,count,weighted_mean
1940s,1970,Foreign-born,118500,1185,3.056540084388186
1940s,1980,Foreign-born,719300,35965,2.256221326289448
1940s,1990,Foreign-born,525366,26393,2.0106459116120954
1940s,2000,Foreign-born,81942,4064,2.0038563862244025
1940s,2010,Foreign-born,25279,1365,2.0092171367538274
1940s,1970,US-born,19570400,195704,2.88886277235008
1940s,1980,US-born,17357740,867887,2.209041038752741
1940s,1990,US-born,12598929,678853,1.924758366365903
1940s,2000,US-born,6295655,336491,1.789147753490304
1940s,2010,US-born,1528229,89656,1.7810033705681543
1950s,1970,Foreign-born,442500,4425,4.029604519774011
1950s,1980,Foreign-born,458760,22938,3.097174993460633
1950s,1990,Foreign-born,426099,21060,2.4279521895146434
1950s,2000,Foreign-born,350374,17287,2.205269226597864
1950s,2010,Foreign-born,217963,12201,2.084050962778086
1950s,2020,Foreign-born,74033,3668,2.067577971985466
1950s,1970,US-born,22313700,223137,4.0336340454518975
1950s,1980,US-born,21484400,1074220,2.790041146133939
1950s,1990,US-born,18804581,995959,2.2134772904538527
1950s,2000,US-born,14241966,757481,1.9648844829428747
1950s,2010,US-born,7587654,468423,1.838665416214287
1950s,2020,US-born,2042524,110892,1.7680531538429904
1960s,1970,Foreign-born,639100,6391,4
1960s,1980,Foreign-born,678860,33943,4.095395221400583
1960s,1990,Foreign-born,651278,31279,3.3474967678932805
1960s,2000,Foreign-born,595992,29057,2.7236758211519616
1960s,2010,Foreign-born,534332,29572,2.396130121347776
1960s,2020,Foreign-born,358593,18341,2.3527843544073646
1960s,1970,US-born,20829600,208296,4.574019664323846
1960s,1980,US-born,20620620,1031031,3.7199899906016407
1960s,1990,US-born,19555970,1017012,2.6487169902592407
1960s,2000,US-born,17650814,937678,2.1660476395026316
1960s,2010,US-born,14102839,889691,1.995036602204705
1960s,2020,US-born,8029064,481853,1.8872899755189396
1970s,1980,Foreign-born,1159860,57993,4.064783680789061
1970s,1990,Foreign-born,1083172,50713,4.356456776947706
1970s,2000,Foreign-born,1024836,49476,3.604240093049034
1970s,2010,Foreign-born,973308,50009,2.8839781446366413
1970s,2020,Foreign-born,837880,42890,2.6625853344154295
1970s,1980,US-born,28818420,1440921,3.7639870610533124
1970s,1990,US-born,28059597,1428545,3.2782902762288426
1970s,2000,US-born,26812556,1393883,2.4814712554819467
1970s,2010,US-born,25245861,1515310,2.143303331979844
1970s,2020,US-born,20250071,1273381,2.012127858712199
1980s,1990,Foreign-born,2023201,90686,4.265271221198487
1980s,2000,Foreign-born,1980979,90338,4.341170703980204
1980s,2010,Foreign-born,1833564,85973,3.557298790770325
1980s,2020,Foreign-born,1658872,77880,3.0578031336956677
1980s,1990,US-born,36786091,1825525,3.4814655626225686
1980s,2000,US-born,36347302,1820204,3.1952505580744344
1980s,2010,US-born,35082161,1937846,2.5213159759457233
1980s,2020,US-born,32336304,1893273,2.191311072533212
1990s,2000,Foreign-born,2890819,129093,4.132414032147983
1990s,2010,Foreign-born,2655260,113334,4.061034324322288
1990s,2020,Foreign-born,2402389,102453,3.4835149511590338
1990s,2000,US-born,35012796,1722042,3.4373995438696183
1990s,2010,US-born,34372896,1709695,3.211713554772923
1990s,2020,US-born,33140105,1691186,2.64519705052232
2000s,2010,Foreign-born,3282503,123830,3.8523919094666477
2000s,2020,Foreign-born,3037506,115231,3.9917626500161645
2000s,2010,US-born,30282468,1380459,3.441752997146732
2000s,2020,US-born,30479346,1373866,3.3731844508737163
2010s,2020,Foreign-born,3106764,113030,3.5460302102122983
2010s,2020,US-born,34902032,1494017,3.397581149429924
