label,1970,1980,1990,2000,2010,2020
Foreign-born,-0.023***,-0.023***,-0.034***,-0.047***,-0.036***,-0.018***
,(0.003),(0.002),(0.002),(0.002),(0.002),(0.002)
Hispanic (vs White),0.197***,0.161***,0.167***,0.160***,0.118***,0.095***
,(0.005),(0.001),(0.001),(0.001),(0.001),(0.001)
Black (vs White),0.183***,0.152***,0.122***,0.078***,0.019***,-0.013***
,(0.003),(0.001),(0.001),(0.001),(0.001),(0.001)
AAPI (vs White),0.063***,0.064***,0.092***,0.087***,0.059***,0.041***
,(0.009),(0.003),(0.002),(0.002),(0.002),(0.002)
FB x Hispanic,0.018**,0.132***,0.196***,0.197***,0.137***,0.106***
,(0.008),(0.003),(0.002),(0.002),(0.002),(0.002)
FB x Black,-0.081***,-0.013**,0.037***,0.076***,0.115***,0.147***
,(0.019),(0.005),(0.004),(0.004),(0.004),(0.004)
FB x AAPI,0.082***,0.184***,0.142***,0.089***,0.076***,0.075***
,(0.014),(0.004),(0.003),(0.003),(0.003),(0.003)
Age (years),-0.011***,-0.010***,-0.010***,-0.011***,-0.011***,-0.010***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Age at arrival (years),-0.000,0.002***,0.004***,0.005***,0.005***,0.004***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Some college (vs college 4yr+),0.000,0.038***,0.049***,0.043***,0.041***,0.041***
,(0.002),(0.001),(0.001),(0.001),(0.001),(0.001)
HS or less (vs college 4yr+),0.101***,0.132***,0.110***,0.111***,0.103***,0.109***
,(0.002),(0.001),(0.001),(0.001),(0.001),(0.001)
N (persons)," 1,963,188","10,925,049","12,122,916","13,307,810","14,331,274","14,163,839"
State fixed effects,Yes,Yes,Yes,Yes,Yes,Yes
Clustered SE (household),Yes,Yes,Yes,Yes,Yes,Yes
