label,1970,1980,1990,2000,2010,2020
Foreign-born,0.977***,0.977***,0.967***,0.954***,0.964***,0.982***
,(0.003),(0.002),(0.002),(0.002),(0.002),(0.002)
Hispanic (vs White),1.218***,1.175***,1.182***,1.174***,1.126***,1.100***
,(0.006),(0.002),(0.001),(0.001),(0.001),(0.001)
Black (vs White),1.201***,1.164***,1.129***,1.081***,1.019***,0.987***
,(0.004),(0.001),(0.001),(0.001),(0.001),(0.001)
AAPI (vs White),1.066***,1.066***,1.096***,1.090***,1.060***,1.042***
,(0.010),(0.003),(0.003),(0.003),(0.002),(0.002)
FB x Hispanic,1.018**,1.141***,1.217***,1.217***,1.147***,1.112***
,(0.009),(0.003),(0.003),(0.002),(0.002),(0.002)
FB x Black,0.923***,0.987**,1.038***,1.079***,1.122***,1.158***
,(0.018),(0.005),(0.005),(0.004),(0.004),(0.004)
FB x AAPI,1.085***,1.202***,1.153***,1.093***,1.079***,1.078***
,(0.015),(0.005),(0.003),(0.003),(0.003),(0.003)
Age (years),0.989***,0.990***,0.990***,0.989***,0.990***,0.990***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Age at arrival (years),1.000,1.002***,1.004***,1.005***,1.005***,1.004***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Some college (vs college 4yr+),1.000,1.038***,1.050***,1.044***,1.042***,1.042***
,(0.002),(0.001),(0.001),(0.001),(0.001),(0.001)
HS or less (vs college 4yr+),1.107***,1.141***,1.116***,1.117***,1.109***,1.116***
,(0.002),(0.001),(0.001),(0.001),(0.001),(0.001)
N (persons)," 1,963,188","10,925,049","12,122,916","13,307,810","14,331,274","14,163,839"
State fixed effects,Yes,Yes,Yes,Yes,Yes,Yes
Clustered SE (household),Yes,Yes,Yes,Yes,Yes,Yes
